Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Jackson Meeks,WR,DET,DAL,0.3,0.3,0.3,0.2,0.3,0.3,1.3,1.1,Thursday
Bo Melton,WR,GB,CHI,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1,Main
Tyler Goodson,RB,IND,@JAX,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.2,Main
Kevin Austin,WR,NO,@TB,0.3,0.2,0.3,0.2,0.2,0.3,2,1.6,Main
Jack Stoll,TE,NO,@TB,0.3,0.2,0.3,0.1,0.2,0.3,1,0.8,Main
Ben Skowronek,WR,PIT,@BAL,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
Ben Sinnott,TE,WAS,@MIN,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
Pharaoh Brown,TE,ARI,LA,0.2,0.1,0.2,0.1,0.1,0.2,0.6,0.5,Main
Feleipe Franks,TE,ATL,SEA,0.2,0.2,0.3,0.2,0.2,0.2,0.6,0.5,Main
Reggie Gilliam,TE,BUF,CIN,0.2,0.1,0.2,0.1,0.1,0.2,0.6,0.5,Main
British Brooks,RB,HOU,@KC,0.2,0.1,0.2,0.1,0.1,0.2,0.8,0.7,Sunday
Jakob Johnson,RB,HOU,@KC,0.2,0.2,0.2,0.1,0.2,0.2,0.9,0.7,Sunday
Dylan Laube,RB,LV,DEN,0.2,0.1,0.2,0.1,0.1,0.2,0.7,0.6,Main
Jaret Patterson,RB,LAC,PHI,0.2,0.2,0.2,0.2,0.2,0.2,1.1,1.1,Monday
Derius Davis,WR,LAC,PHI,0.2,0.2,0.2,0.2,0.2,0.2,1,0.9,Monday
Tyler Conklin,TE,LAC,PHI,0.2,0.2,0.3,0.2,0.2,0.2,0.6,0.5,Monday
Nick Vannett,TE,LA,@ARI,0.2,0.1,0.2,0.1,0.1,0.2,0.8,0.6,Main
